x,y
187.0555556,334.6666667
187.3,341.4
187.0555556,382.6666667
187.5,389
187.0555556,418.6666667
187,426
187.0555556,466.6666667
187.5,473
187.0555556,514.6666667
187,522
187.1666667,548.0555556
187.0555556,562.6666667
187,570
187,576
187,582
187,588
187,594
187,600
187,606
187,612
187,618
187.5,623
188.375,200.5
188.2777778,374
188.4,434.6
188.2272727,531
189.0555556,223.5555556
189.1,301
189.0555556,349.5555556
189,357
189,363
189.5,368.5
189.2777778,457.3333333
189.375,487.75
189,495
189.3571429,540.8571429
189.5,732.8888889
189,740.8333333
189,748.875
190.4,171.6
190.2777778,232
190,239.6666667
190,245.6666667
190,251.6666667
190,257.6666667
190.1,263.2
190.5,273.7777778
190,281.6666667
190,287.6666667
190.1,293.2
190.5,327.1111111
190.2777778,502
190.1,509.2
190.5,555.1111111
190,660.75
191.3571429,164
191.3571429,179.4285714
191,186.1666667
191,192.1666667
191.2,310
191,318.1666667
191,323.5
191.4,411.2
191.5,442.1111111
191.3,449.8
192.2272727,399.0909091
192,406
192.2272727,633.0909091
192,641.5
192,647.5
192,653.5
192.5,657.6666667
193.2,212
193.3,219.4
193.2,338
193.3,345.4
193.2,386
193.1666667,392
193.2,422
193,429.8333333
193.3888889,464.2222222
193,471.8333333
193,477.8333333
193.3,483.4
193.2,518
193,525.8333333
193.7857143,547.2857143
193.2,566
193,573.8333333
193,579.8333333
193,585.8333333
193,591.8333333
193,597.8333333
193,603.8333333
193,609.8333333
193,615.8333333
193,621.8333333
193.1666667,626
194.2777778,198.7777778
194,205
194.25,377.125
194.2,534.2
195.2272727,298.8181818
195.3,353.3
195,361.3333333
195,367.3333333
194.8333333,372
195.3888889,454.6666667
195.3,491.3
195,730.1666667
195,736.1666667
195.2142857,742.8571429
194.3333333,748.4166667
196.1,151.6
196,159.5
196.375,224.25
196,231.5
196,237.5
196,243.5
196,249.5
196,255.5
196,261.5
196,267.5
196,273.5
196,279.5
196,285.5
196.3,291
196.375,330.75
196.375,434.25
196.125,500.625
196,507.5
196.5,512.75
196.5,541.8333333
196.375,554.25
196.5,560.75
197.1,168
197,176
197,182
197,188
197.5,193.25
197.3571429,307.4285714
197,314
197,320
197.5,325.25
197.2777778,413.5555556
197.1,444
198.1,400.6
198.5,407.75
198.1,634.6
198,642.5
198,648.5
197.1666667,654
199.1,213.2
199.1666667,339.5555556
199.3,346.8
199.1,387.2
199.5,394.5
199.0555556,423.7777778
199.1,465.2
199,473.1666667
199,479.1666667
199.3,484.8
199.1666667,519.5555556
199,527.1666667
199.1666667,567.5555556
199,575.1666667
199,581.1666667
199,587.1666667
199,593.1666667
199,599.1666667
199,605.1666667
199,611.1666667
199,617.1666667
199,623.1666667
199.5,628.5
200.1666667,144.2222222
200.0555556,199.1111111
200.5,205.75
200.25,377.75
200,534.75
200.375,546.25
201.1666667,299.1111111
200.9444444,354
201,361.6666667
201,367.6666667
201.5,372.3333333
201.1666667,449.7777778
201.3,457.2
200.9444444,492
201,732.5
201,738.5
200.5,744.8333333
202.2272727,154
202,162.5
202.3,220.2
202,228.5
202,234.5
202,240.5
202,246.5
202,252.5
202,258.5
202,264.5
202,270.5
202,276.5
202,282.5
202,288.5
202.5,293
202.3,430.2
202,438.5
202.2272727,502
202,510.5
202.2272727,556
203.2272727,171
203,179.5
203,185.5
203.3,191
203.2272727,309
203,317.5
203,323.5
203,329.5
203.3,335
203.4,416.5
204.2272727,404
204,410.5
204.2272727,638
204.3571429,646.8571429
203.1666667,651.3333333
205.2272727,139
205.5,210
205.2272727,343
205.2272727,385
205,393.5
205,397.5
205.2272727,463
205,471.5
205,477.5
205,483.5
205.2272727,517
205,525.5
205,531.5
205.2272727,541
205.2272727,565
205,573.5
205,579.5
205,585.5
205,591.5
205,597.5
205,603.5
205,609.5
205,615.5
205,621.5
205,627.5
205,631.5
206.2272727,198.1818182
206,205
206.3571429,376.2857143
206.2272727,444.1818182
207.4,298.9
207.2272727,353.3636364
207,361.8333333
207,367.8333333
207,372
207.5,454
207.2272727,491.3636364
205,738.5
204.5,742.5
208.2272727,148.5454545
208,157
208,163
208.2272727,220.5454545
208,229
208,235
208,241
208,247
208,253
208,259
208,265
208,271
208,277
208,283
208,289
208,293
208.2272727,424.5454545
208,433
208.5,437.6666667
208.2272727,502.5454545
208.5,510.25
208.2272727,550.5454545
208.5,558.25
209.2272727,171.9090909
209,180.3333333
209,186.3333333
209.5,191.5
209.2272727,309.9090909
209,318.3333333
209,324.3333333
209,330.3333333
209.3,336
209.3571429,416
210.4,404.8
209.5,411
210.4,638.8
209.5,645.75
211.2272727,134.5454545
211.5,142.25
211.5,211.6666667
211.4,344.1
211.2272727,386.5454545
211,395
211,399
211.2272727,464.5454545
211,473
211,479
211.3,484.6
211.2272727,518.5454545
211,527
211,533
211,539
211.5,544.25
211.2272727,566.5454545
211,575
211,581
211,587
211,593
211,599
211,605
211,611
211,617
211,623
211,629
211,633
212.2272727,199.9090909
212,206.5
212.3571429,378
212.2272727,445.9090909
213.4,301
213.4,355
213,362.8333333
213,368.8333333
212.5,373.3333333
213.5,456.125
213.4,493
214.2272727,150.9090909
214,159.3333333
214,165.3333333
214.2272727,222.9090909
214,231.3333333
214,237.3333333
214,243.3333333
214,249.3333333
214,255.3333333
214,261.3333333
214,267.3333333
214,273.3333333
214,279.3333333
214,285.3333333
214,291.3333333
214,295.5
214.2272727,426.9090909
214,435.3333333
214.5,440.3333333
214.3571429,500.4285714
214,507.3333333
214.5,512.75
214.2272727,552.9090909
214.5,560.75
215.2272727,174.4545455
215,182.8333333
215,188.8333333
215.5,194.25
215.2272727,312.4545455
215,320.8333333
215,326.8333333
215,332.8333333
215.3,338.6
215.3571429,418.5714286
216.5,407.3333333
215.5,413.25
215.6428571,639.7857143
217.4,131.6
217,139.3333333
217.1,145
217.5,215.2222222
217.4,347.6
217.4,389.6
217,397.3333333
216.5,401.6666667
217.4,467.6
217,475.3333333
217,481.3333333
217,487.3333333
217.4,521.6
217,529.3333333
217,535.3333333
217,541.3333333
217.1,547
217.4,569.6
217,577.3333333
217,583.3333333
217,589.3333333
217,595.3333333
217,601.3333333
217,607.3333333
217,613.3333333
217,619.3333333
217,625.3333333
217,631.3333333
216.5,635.1666667
218.2272727,203.8181818
218,210.5
218.3571429,382
218.2272727,449.8181818
219,303
219,357
219,363
219,369
219,375
219,459
220,153
220,159
220,165
220,225
220,231
220,237
220,243
220,249
220,255
220,261
220,267
220,273
220,279
220,285
220,291
220,297
220,429
220,435
220,441
220,495
220,501
220,507
220,513
220,555
220,561
221,171
221,177
221,183
221,189
221,195
221,309
221,315
221,321
221,327
221,333
221,339
221,423
222,411
222,417
223.3571429,129.5714286
223,135.8333333
223,141.8333333
223,147.8333333
223.3571429,219.5714286
223.3571429,345.5714286
223,351.8333333
223.3571429,393.5714286
223,399.8333333
223,405.8333333
223.3571429,465.5714286
223,471.8333333
223,477.8333333
223,483.8333333
223,489.8333333
223.3571429,519.5714286
223,525.8333333
223,531.8333333
223,537.8333333
223,543.8333333
223,549.8333333
223.3571429,567.5714286
223,573.8333333
223,579.8333333
223,585.8333333
223,591.8333333
223,597.8333333
223,603.8333333
223,609.8333333
223,615.8333333
223,621.8333333
223,627.8333333
222.2777778,634.7222222
224.5,201.75
224,208.5
223.7,213.8
224.5,381.75
223.7,387.8
224.5,447.75
224,454.5
225.5,303.4444444
225.5,357.625
225,364.8333333
225,370.8333333
224.5,375.5
225.3333333,459.3333333
226.5,153.1111111
226,161
226,167
